0,1,2,3,4,5,6
2021-08-31T11:45:00+0530,368.25,376.15,368,371.9,1175,33925
2021-08-31T11:50:00+0530,371.9,374.55,365,373,1850,34025
2021-08-31T11:55:00+0530,373,388.25,373,384.6,4925,34000
2021-08-31T12:00:00+0530,384.65,390.95,353.2,359.85,8725,37850
2021-08-31T12:05:00+0530,359.85,374.8,359.85,374.8,3225,38675
2021-08-31T12:10:00+0530,374.8,380.7,371.1,376,4725,35950
2021-08-31T12:15:00+0530,376,377.15,360.95,368,2025,36550
2021-08-31T12:20:00+0530,368,374,359.2,368.95,1000,36300
2021-08-31T12:25:00+0530,368.95,378,367.7,377.1,1500,36300
2021-08-31T12:30:00+0530,377.1,387,369,384.1,4575,36225
2021-08-31T12:35:00+0530,384.1,401.8,377,400.4,5450,36875
2021-08-31T12:40:00+0530,400.5,400.95,376.1,381.75,3950,37475
2021-08-31T12:45:00+0530,381.75,391,380.85,391,1275,36875
2021-08-31T12:50:00+0530,396.85,406.1,378.05,382.85,2600,37750
2021-08-31T12:55:00+0530,382.85,392.55,381.2,391.2,2025,37775
2021-08-31T13:00:00+0530,391.2,400,387.65,398.85,4150,39500
2021-08-31T13:05:00+0530,398.85,445,393,429.45,14750,38800
2021-08-31T13:10:00+0530,429.45,437.3,419.45,423,10175,40725
2021-08-31T13:15:00+0530,423,429.85,291.15,312.9,18075,41700
2021-08-31T13:20:00+0530,311.9,339.35,300.2,325.45,9450,42275
2021-08-31T13:25:00+0530,325.45,339.4,325.45,334.9,2900,42475
2021-08-31T13:30:00+0530,334.9,346.45,323.85,343.05,3250,40600
2021-08-31T13:35:00+0530,343.05,345,330.1,339.85,1650,40550
2021-08-31T13:40:00+0530,339.85,339.85,325,335.9,2725,40225
2021-08-31T13:45:00+0530,336.4,341.6,330.45,339.95,2200,40475
2021-08-31T13:50:00+0530,339.95,366,334.3,363.7,2725,40675
2021-08-31T13:55:00+0530,363.7,373.85,352.9,362.35,2675,40450
2021-08-31T14:00:00+0530,362.35,365,326.9,329.95,2675,40100
2021-08-31T14:05:00+0530,329.95,338.1,310.6,311.7,5175,41850
2021-08-31T14:10:00+0530,310,313.45,285,302.8,7375,41525
2021-08-31T14:15:00+0530,305,330.65,302.8,318.9,3150,40200
2021-08-31T14:20:00+0530,318.9,328.7,318.9,325.45,1425,40175
2021-08-31T14:25:00+0530,322,332.95,318.55,330.25,1375,39875
2021-08-31T14:30:00+0530,330.25,341.4,329,334.8,1900,39525
2021-08-31T14:35:00+0530,336,357,334.8,345,5925,40100
2021-08-31T14:40:00+0530,345,352,328.95,345.4,2475,40275
2021-08-31T14:45:00+0530,345.4,350.95,336.8,349.1,1425,40150
2021-08-31T14:50:00+0530,349.1,349.9,336.9,343.75,1475,40375
2021-08-31T14:55:00+0530,344.2,345.5,338.8,342,800,40600
2021-08-31T15:00:00+0530,342,352.25,340,349,3750,40350
2021-08-31T15:05:00+0530,349,354.95,340,354.4,5050,39275
2021-08-31T15:10:00+0530,354.4,364.8,348.2,353.5,6175,38400
2021-08-31T15:15:00+0530,352.45,360.5,346.55,349,6425,41850
2021-08-31T15:20:00+0530,347.55,358.1,345.65,348.6,5475,41375
2021-08-31T15:25:00+0530,348.6,350.3,335.9,340,8950,40775
2021-09-01T09:15:00+0530,379.6,431.15,362.55,404.3,30325,41850
2021-09-01T09:20:00+0530,404.3,463.8,400,456.85,31650,51750
2021-09-01T09:25:00+0530,457.9,515,452.65,513.55,37575,55250
2021-09-01T09:30:00+0530,515.65,574.95,513.5,562.65,36750,51025
2021-09-01T09:35:00+0530,557.95,566.05,528.4,553,12975,46750
2021-09-01T09:40:00+0530,553,678.4,546.15,678.4,22775,44725
2021-09-01T09:45:00+0530,677.65,695.6,625.05,680.95,21425,44825
2021-09-01T09:50:00+0530,678.25,700,657.95,690.65,12625,44075
2021-09-01T09:55:00+0530,688.75,710.95,677.35,687.6,8650,42850
2021-09-01T10:00:00+0530,687.6,717.2,680.75,716.85,5675,42950
2021-09-01T10:05:00+0530,713.55,720,696.9,717.35,5350,41500
2021-09-01T10:10:00+0530,717.35,717.35,670,682.35,5150,40800
2021-09-01T10:15:00+0530,682.35,682.85,616.35,642.1,8625,39725
2021-09-01T10:20:00+0530,642.15,660,625,633.25,2875,38875
