Date,Open,High,Low,Close,Adj Close,Volume
3/4/2021,398.700012,403.5,394.450012,395.649994,395.649994,43603653
3/5/2021,395,395,378.100006,383.649994,383.649994,72179228
3/8/2021,388.450012,393.399994,386.049988,389.600006,389.600006,39147858
3/9/2021,393.450012,394.899994,382.25,387.600006,387.600006,28054083
3/10/2021,391.100006,393,385.700012,387.700012,387.700012,22677399
3/12/2021,391.700012,393.200012,377.5,381.100006,381.100006,35336355
3/15/2021,382.5,386,369.350006,383.899994,383.899994,42722585
3/16/2021,385.600006,387.850006,376.100006,378.549988,378.549988,38196452
3/17/2021,378.200012,379.649994,366.049988,368.149994,368.149994,33143064
3/18/2021,371.5,375,361.100006,367.100006,367.100006,39405038
3/19/2021,363.950012,371.899994,357.25,365.5,365.5,27639053
