time,open,high,low,close,5,6,result
2021-10-04T10:15:00+0530,3765.9,3778.4,3761,3765,117498,0,
2021-10-04T11:15:00+0530,3765,3770.5,3754.3,3764.75,139456,0,
2021-10-04T12:15:00+0530,3764.75,3764.75,3751.2,3763.5,144189,0,
2021-10-04T13:15:00+0530,3763.95,3783.2,3763.5,3767.4,263471,0,
2021-10-04T14:15:00+0530,3768.85,3773.95,3758.05,3772.45,245680,0,
2021-10-04T15:15:00+0530,3772.5,3780,3772.45,3779,100032,0,
2021-10-05T09:15:00+0530,3754,3769.7,3742.2,3754.65,321581,0,
2021-10-05T10:15:00+0530,3754.75,3760,3744,3748.75,232323,0,
2021-10-05T11:15:00+0530,3749.2,3764,3748.05,3753.05,209077,0,
2021-10-05T12:15:00+0530,3753,3800.5,3751.1,3792.25,332593,0,
2021-10-05T13:15:00+0530,3792.3,3825.1,3788,3824.2,274383,0,
2021-10-05T14:15:00+0530,3824.2,3839.9,3812.6,3835.45,371812,0,
2021-10-05T15:15:00+0530,3835.5,3840,3830,3839.1,115468,0,
2021-10-06T09:15:00+0530,3836,3856.95,3822.5,3825.55,500976,0,
2021-10-06T10:15:00+0530,3826,3837,3817.5,3835,192486,0,
2021-10-06T11:15:00+0530,3835,3844,3830,3843.25,133127,0,
2021-10-06T12:15:00+0530,3843.4,3849.35,3835,3840.7,179324,0,
2021-10-06T13:15:00+0530,3840.65,3844,3825.25,3836.3,210360,0,
2021-10-06T14:15:00+0530,3836.3,3837,3795,3815.5,328522,0,
2021-10-06T15:15:00+0530,3815,3819.15,3802.5,3813.8,115434,0,
2021-10-07T09:15:00+0530,3830,3855,3820.05,3831.35,367989,0,
2021-10-07T10:15:00+0530,3831.35,3858.1,3830.05,3852.8,195231,0,
2021-10-07T11:15:00+0530,3854.45,3882,3852.6,3878,335460,0,
2021-10-07T12:15:00+0530,3878,3890.9,3872,3876.05,198042,0,
2021-10-07T13:15:00+0530,3876.1,3899,3873.2,3893,192117,0,
2021-10-07T14:15:00+0530,3893,3895.55,3874.1,3891,248021,0,
2021-10-07T15:15:00+0530,3890.95,3898,3890.5,3898,104082,0,
2021-10-08T09:15:00+0530,3925,3952.4,3900.05,3945,884788,0,
2021-10-08T10:15:00+0530,3945,3977.1,3940,3973.1,441347,0,
2021-10-08T11:15:00+0530,3974,3989.9,3928,3929.15,524094,0,
2021-10-08T12:15:00+0530,3928.05,3956.9,3921.7,3952.2,299505,0,
2021-10-08T13:15:00+0530,3953.85,3965,3945.25,3962.7,209544,0,
2021-10-08T14:15:00+0530,3962.75,3969,3920,3936.05,394116,0,
2021-10-08T15:15:00+0530,3937.1,3943,3933,3943,150047,0,
2021-10-11T09:15:00+0530,3755,3755,3660,3727,5714974,0,
2021-10-11T10:15:00+0530,3727,3735.3,3706,3729.6,1216775,0,
2021-10-11T11:15:00+0530,3729.6,3732,3711,3721.5,706065,0,
2021-10-11T12:15:00+0530,3721.45,3725,3692.2,3697.1,896750,0,
2021-10-11T13:15:00+0530,3698.15,3711.95,3695,3703.65,704958,0,
2021-10-11T14:15:00+0530,3703.55,3705,3686,3690,1620198,0,
2021-10-11T15:15:00+0530,3690.05,3690.05,3675.05,3687.95,876498,0,
2021-10-12T09:15:00+0530,3706,3707,3672,3676.95,1370352,0,
2021-10-12T10:15:00+0530,3676.95,3679.2,3630.6,3653,1144747,0,
2021-10-12T11:15:00+0530,3652.75,3654.9,3632.3,3633.35,520587,0,
2021-10-12T12:15:00+0530,3634.7,3648.35,3631.05,3642,622874,0,
2021-10-12T13:15:00+0530,3642,3657,3630.95,3654.55,855303,0,
2021-10-12T14:15:00+0530,3654.3,3657.95,3645,3649.95,829713,0,
2021-10-12T15:15:00+0530,3650,3659.9,3648,3658,366927,0,
2021-10-13T09:15:00+0530,3650,3675.15,3645.15,3664.2,870608,0,
2021-10-13T10:15:00+0530,3664.7,3668.95,3661,3663,224300,0,
2021-10-13T11:15:00+0530,3663.15,3666,3647,3649.8,428312,0,
2021-10-13T12:15:00+0530,3649.9,3654.1,3648.5,3651,370747,0,
2021-10-13T13:15:00+0530,3650.9,3654.4,3648.15,3651,418146,0,
2021-10-13T14:15:00+0530,3651,3659.8,3649,3657.8,871308,0,
2021-10-13T15:15:00+0530,3657.8,3659.7,3653.5,3658.05,332102,0,
2021-10-14T09:15:00+0530,3625,3669.4,3611.05,3630.35,2112026,0,
2021-10-14T10:15:00+0530,3630.9,3635,3624.9,3627.45,688820,0,
2021-10-14T11:15:00+0530,3627.4,3631,3620,3624.3,694468,0,
2021-10-14T12:15:00+0530,3624.3,3626.8,3617,3622.35,522919,0,
2021-10-14T13:15:00+0530,3622.35,3628,3617,3625.25,565978,0,
2021-10-14T14:15:00+0530,3624.9,3627.5,3609,3610.05,1128644,0,
2021-10-14T15:15:00+0530,3610.1,3614.55,3608.2,3614.55,604415,0,
2021-10-18T09:15:00+0530,3603.45,3642.85,3603,3640,1016976,0,
2021-10-18T10:15:00+0530,3640.45,3644,3620.6,3627.1,440673,0,
2021-10-18T11:15:00+0530,3627.35,3636.2,3622.4,3634.65,462889,0,
2021-10-18T12:15:00+0530,3635,3642,3628,3630.2,395976,0,
2021-10-18T13:15:00+0530,3630.1,3642,3630.05,3636.55,334812,0,
2021-10-18T14:15:00+0530,3636.75,3652.5,3628,3651.8,565087,0,
2021-10-18T15:15:00+0530,3651,3652.7,3647.05,3649.5,270235,0,
2021-10-19T09:15:00+0530,3669,3690,3645,3658.5,1209345,0,
2021-10-19T10:15:00+0530,3658.5,3683.5,3655.45,3676.15,452152,0,
2021-10-19T11:15:00+0530,3676.1,3678,3660,3666.15,184477,0,
2021-10-19T12:15:00+0530,3666.9,3673.9,3660,3661.75,185980,0,
2021-10-19T13:15:00+0530,3661.25,3662.6,3646.25,3650,279571,0,
2021-10-19T14:15:00+0530,3650,3652.3,3629.45,3632,506207,0,
2021-10-19T15:15:00+0530,3632.45,3639.6,3625.2,3634.45,280812,0,
2021-10-20T09:15:00+0530,3612,3630,3591.2,3615,976106,0,
2021-10-20T10:15:00+0530,3614.5,3615.85,3601,3615.55,349195,0,
2021-10-20T11:15:00+0530,3615.7,3620,3601,3601.35,319798,0,
2021-10-20T12:15:00+0530,3601.35,3607,3590,3597.85,325997,0,
2021-10-20T13:15:00+0530,3598.45,3600,3578.3,3586.5,263825,0,
2021-10-20T14:15:00+0530,3586.5,3613,3581.5,3608.7,440661,0,
2021-10-20T15:15:00+0530,3608.25,3612.6,3605.2,3607.95,217111,0,
2021-10-21T09:15:00+0530,3604.1,3606.95,3556.45,3565.95,1209031,0,
2021-10-21T10:15:00+0530,3565.95,3565.95,3522,3530.55,816413,0,
2021-10-21T11:15:00+0530,3530.55,3555,3528.6,3544.85,532679,0,
2021-10-21T12:15:00+0530,3544.85,3552,3540.1,3545.85,344278,0,
2021-10-21T13:15:00+0530,3545.75,3548.95,3516.35,3519.4,604673,0,
2021-10-21T14:15:00+0530,3519.15,3533.3,3511.45,3531.45,926486,0,
2021-10-21T15:15:00+0530,3531.6,3539,3531,3532.95,395491,0,
2021-10-22T09:15:00+0530,3560,3560.75,3521.15,3544.05,444824,0,
2021-10-22T10:15:00+0530,3544.05,3546,3521.6,3527.85,204800,0,
2021-10-22T11:15:00+0530,3527.85,3529,3505.05,3508.35,410748,0,
2021-10-22T12:15:00+0530,3508.25,3516.7,3491,3492.9,433366,0,
2021-10-22T13:15:00+0530,3492.9,3504,3485,3499.3,468145,0,
2021-10-22T14:15:00+0530,3499.3,3502.55,3485.5,3499.75,519255,0,
2021-10-22T15:15:00+0530,3499.75,3502,3498,3501.85,176196,0,
2021-10-25T09:15:00+0530,3503,3513.75,3450,3468.6,731643,0,
2021-10-25T10:15:00+0530,3468.05,3487.75,3465.2,3474.7,324960,0,
2021-10-25T11:15:00+0530,3474.75,3485.2,3464.4,3468.25,317959,0,
2021-10-25T12:15:00+0530,3469.5,3479.85,3466.3,3472.9,268797,0,
2021-10-25T13:15:00+0530,3472.9,3486.4,3468,3481,297589,0,
2021-10-25T14:15:00+0530,3481.85,3500,3471.2,3493.1,449257,0,
2021-10-25T15:15:00+0530,3492.95,3494.7,3487.45,3491,197857,0,
2021-10-26T09:15:00+0530,3494.5,3529,3494.5,3509,1087374,0,
2021-10-26T10:15:00+0530,3509,3509,3480.1,3486.15,910048,0,
2021-10-26T11:15:00+0530,3486.15,3491.65,3476,3485,367480,0,
2021-10-26T12:15:00+0530,3485,3489.5,3475,3480.25,363337,0,
2021-10-26T13:15:00+0530,3480.25,3489,3477.05,3482.2,342978,0,
2021-10-26T14:15:00+0530,3482.15,3487.7,3479.4,3481.5,536278,0,
2021-10-26T15:15:00+0530,3481.5,3486,3480.35,3485.95,263769,0,
2021-10-27T09:15:00+0530,3483,3511.25,3483,3495.65,488965,0,
2021-10-27T10:15:00+0530,3495.75,3499.5,3488.4,3495,286323,0,
